Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,C,Si,Zr,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Be,Pd,Pt,Rh,Ir,Au,Ag,HV
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747
0.173913,0.173913,0.173913,0.173913,0.173913,0,0,0,0,0.1304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.192307,0.192307,0.192307,0.192307,0.192307,0,0,0,0,0,0,0,0.0384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.185185,0.185185,0.185185,0.185185,0.185185,0,0,0,0,0,0,0,0.074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.17857,0.17857,0.17857,0.17857,0.17857,0,0,0,0,0,0,0,0.1071428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1724137,0.1724137,0.1724137,0.1724137,0.1724137,0,0,0,0,0,0,0,0.137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166666,0.166666,0.166666,0.166666,0.166666,0,0,0,0,0,0,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166666,0.166666,0.166666,0.166666,0.166666,0,0,0,0,0,0,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0350876,0.263157,0.175438,0.175438,0.263157,0,0,0.087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
0.032258,0.241935,0.1612903,0.1612903,0.241935,0,0,0.1612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717
0.090909,0.181818,0.181818,0.181818,0.181818,0,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
0.166666,0.166666,0.166666,0.166666,0.166666,0,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166666,0.166666,0.166666,0.166666,0.166666,0,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.153846,0.153846,0.153846,0.153846,0.153846,0,0,0.230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.230769,0.153846,0.153846,0.153846,0.153846,0,0,0.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.285714,0.142857,0.142857,0.142857,0.142857,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643
0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780
0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
0,0.190476,0.190476,0.190476,0.190476,0,0.190476,0,0.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
0,0.181818,0.181818,0.181818,0.181818,0,0.181818,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
0,0.173913,0.173913,0.173913,0.173913,0,0.173913,0,0.1304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342
0,0.166666,0.166666,0.166666,0.166666,0,0.166666,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
0.019607,0.196078,0.196078,0.196078,0.196078,0,0.196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
0.0384615,0.192307,0.192307,0.192307,0.192307,0,0.192307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
0.0706319,0.185873,0.185873,0.185873,0.185873,0,0.185873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
